#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
43.2%,2160000,8639.999999925201,-3489321.5267100576,567684.3445256532,310.3015360705828,112,2:25:52
43.2%,2162500,8649.999999927239,-3488443.2378266416,570714.4835436197,311.9578382054745,112,2:25:44
43.3%,2165000,8659.999999929276,-3492359.3738554213,568068.0866117789,310.5112930595293,112,2:25:37
43.4%,2167500,8669.999999931313,-3485606.7808598764,571619.1569995517,312.4523411202105,112,2:25:29
43.4%,2170000,8679.99999993335,-3492681.867373882,570673.0709230376,311.9352016823728,112,2:25:22
43.5%,2172500,8689.999999935388,-3489044.619729921,570654.6276714078,311.9251204297082,112,2:25:14
43.5%,2175000,8699.999999937425,-3491033.294441251,567008.9308915229,309.9323487040917,112,2:25:06
43.5%,2177500,8709.999999939462,-3489838.9969847593,569907.7273106917,311.5168577544084,112,2:24:58
43.6%,2180000,8719.9999999415,-3489465.648398921,571352.2490748394,312.3064467691926,112,2:24:51
43.6%,2182500,8729.999999943537,-3491793.5037430245,569426.5984507862,311.2538682502653,112,2:24:43
43.7%,2185000,8739.999999945574,-3488448.498151405,569129.8525580392,311.09166418874776,112,2:24:35
43.8%,2187500,8749.999999947611,-3487762.5582918637,570350.8068854953,311.759049165866,112,2:24:27
43.8%,2190000,8759.999999949649,-3490222.6770480257,568897.5224013963,310.9646703669575,112,2:24:20
43.9%,2192500,8769.999999951686,-3490087.789452005,570708.7463233795,311.95470218759675,112,2:24:12
43.9%,2195000,8779.999999953723,-3491727.3063110914,568048.8877631959,310.5007987905512,112,2:24:04
44.0%,2197500,8789.99999995576,-3487355.998608591,567978.8322073903,310.4625057729854,112,2:23:56
44.0%,2200000,8799.999999957798,-3487695.6931736358,567891.9599609656,310.415020596113,112,2:23:49
44.0%,2202500,8809.999999959835,-3489514.151418643,568480.124839283,310.73651698220255,112,2:23:41
44.1%,2205000,8819.999999961872,-3490136.245419115,568866.2847874204,310.94759559698474,112,2:23:33
